Id,Category
0,1
1,3
2,1
3,1
4,1
5,1
6,3
7,1
8,2
9,3
10,2
11,2
12,4
13,2
14,4
15,1
16,1
17,2
18,2
19,3
20,1
21,2
22,1
23,2
24,3
25,1
26,2
27,1
28,2
29,1
30,2
31,3
32,1
33,1
34,1
35,0
36,3
37,2
38,1
39,3
40,1
41,2
42,1
43,1
44,4
45,3
46,1
47,1
48,1
49,1
50,2
51,4
52,1
53,4
54,2
55,1
56,1
57,2
58,2
59,4
60,3
61,2
62,1
63,2
64,2
65,2
66,1
67,2
68,1
69,4
70,2
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,2
80,2
81,1
82,2
83,1
84,2
85,3
86,1
87,1
88,3
89,2
90,2
91,1
92,1
93,3
94,2
95,1
96,2
97,1
98,1
99,4
100,1
101,1
102,2
103,4
104,2
105,1
106,1
107,1
108,2
109,4
110,1
111,1
112,3
113,2
114,3
115,3
116,1
117,2
118,1
119,1
120,3
121,1
122,1
123,1
124,2
125,1
126,2
127,0
128,1
129,1
130,0
131,3
132,1
133,1
134,1
135,2
136,3
137,2
138,1
139,1
140,2
141,1
142,1
143,2
144,3
145,2
146,1
147,2
148,1
149,4
150,2
151,1
152,1
153,1
154,0
155,1
156,4
157,1
158,2
159,1
160,1
161,1
162,2
163,3
164,3
165,1
166,2
167,1
168,2
169,2
170,1
171,1
172,1
173,1
174,0
175,2
176,1
177,4
178,1
179,3
180,1
181,1
182,1
183,1
184,1
185,1
186,3
187,1
188,1
189,2
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,2
198,2
199,1
200,3
201,2
202,2
203,2
204,1
205,3
206,1
207,1
208,3
209,3
210,2
211,1
212,2
213,3
214,1
215,1
216,1
217,2
218,1
219,2
220,0
221,4
222,2
223,3
224,2
225,2
226,1
227,2
228,2
229,3
230,1
231,1
232,2
233,2
234,2
235,2
236,1
237,1
238,2
239,3
240,2
241,2
242,1
243,1
244,2
245,1
246,3
247,1
248,2
249,2
250,2
251,1
252,1
253,1
254,4
255,1
256,1
257,1
258,1
259,2
260,1
261,3
262,2
263,2
264,1
265,0
266,2
267,1
268,1
269,1
270,2
271,1
272,2
273,1
274,1
275,1
276,1
277,1
278,3
279,1
280,1
281,2
282,2
283,1
284,2
285,2
286,2
287,2
288,1
289,3
290,3
291,0
292,2
293,2
294,1
295,2
296,1
297,1
298,1
299,1
300,2
301,1
302,3
303,1
304,1
305,1
306,1
307,4
308,2
309,2
310,3
311,1
312,3
313,1
314,2
315,2
316,3
317,1
318,2
319,4
320,1
321,2
322,1
323,1
324,1
325,3
326,2
327,1
328,3
329,1
330,1
331,3
332,2
333,2
334,1
335,1
336,3
337,2
338,2
339,2
340,2
341,2
342,1
343,2
344,2
345,3
346,2
347,2
348,1
349,1
350,1
351,2
352,1
353,0
354,4
355,0
356,2
357,2
358,1
359,1
360,2
361,1
362,1
363,3
364,1
365,2
366,1
367,2
368,0
369,1
370,1
371,1
372,1
373,1
374,1
375,2
376,2
377,1
378,1
379,1
380,3
381,2
382,1
383,1
384,1
385,1
386,0
387,4
388,1
389,1
390,2
391,1
392,3
393,1
394,2
395,1
396,1
397,2
398,1
399,3
400,1
401,4
402,1
403,1
404,1
405,1
406,0
407,3
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,2
418,1
419,0
420,2
421,1
422,1
423,0
424,3
425,3
426,1
427,2
428,1
429,2
430,1
431,3
432,1
433,1
434,2
435,2
436,1
437,3
438,0
439,1
440,1
441,1
442,2
443,1
444,1
445,3
446,1
447,1
448,2
449,1
450,2
451,2
452,2
453,2
454,3
455,1
456,1
457,4
458,1
459,1
460,1
461,2
462,1
463,1
464,2
465,1
466,2
467,2
468,1
469,2
470,1
471,2
472,1
473,1
474,1
475,1
476,2
477,1
478,1
479,3
480,1
481,1
482,2
483,2
484,2
485,0
486,1
487,2
488,4
489,1
490,1
491,1
492,2
493,2
494,1
495,3
496,1
497,1
498,3
499,1
500,1
501,2
502,3
503,1
504,2
505,1
506,4
507,2
508,0
509,3
510,3
511,1
512,1
513,2
514,1
515,1
516,1
517,1
518,3
519,3
520,1
521,1
522,1
523,1
524,2
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,2
534,3
535,3
536,2
537,1
538,3
539,2
540,3
541,2
542,1
543,2
544,1
545,2
546,0
547,1
548,2
549,1
550,4
551,4
552,1
553,1
554,1
555,1
556,1
557,2
558,1
559,1
560,1
561,2
562,2
563,1
564,0
565,2
566,1
567,0
568,1
569,3
570,1
571,1
572,1
573,2
574,1
575,2
576,2
577,4
578,2
579,1
580,1
581,2
582,1
583,1
584,4
585,1
586,1
587,1
588,1
589,3
590,2
591,2
592,3
593,1
594,1
595,4
596,3
597,3
598,0
599,3
600,1
601,1
602,2
603,1
604,3
605,2
606,3
607,1
608,1
609,2
610,2
611,1
612,2
613,2
614,0
615,1
616,2
617,1
618,1
619,1
620,1
621,1
622,1
623,4
624,2
625,1
626,3
627,1
628,0
629,2
630,1
631,1
632,2
633,1
634,1
635,1
636,3
637,1
638,3
639,1
640,1
641,1
642,4
643,2
644,4
645,4
646,2
647,1
648,3
649,3
650,3
651,4
652,2
653,1
654,1
655,2
656,2
657,2
658,2
659,1
660,1
661,1
662,2
663,1
664,3
665,2
666,1
667,2
668,3
669,4
670,3
671,1
672,1
673,2
674,1
675,3
676,1
677,1
678,1
679,3
680,1
681,2
682,3
683,1
684,1
685,1
686,0
687,2
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,3
697,1
698,1
699,2
700,1
701,1
702,1
703,3
704,1
705,1
706,1
707,1
708,1
709,1
710,2
711,0
712,1
713,2
714,1
715,0
716,1
717,2
718,1
719,2
720,1
721,2
722,1
723,1
724,4
725,3
726,3
727,1
728,2
729,2
730,3
731,1
732,4
733,1
734,1
735,2
736,1
737,0
738,2
739,2
740,2
741,1
742,1
743,2
744,4
745,1
746,1
747,2
748,3
749,0
750,1
751,1
752,1
753,1
754,1
755,2
756,1
757,2
758,1
759,1
760,0
761,1
762,1
763,2
764,3
765,1
766,1
767,4
768,2
769,1
770,3
771,1
772,1
773,3
774,3
775,4
776,1
777,1
778,3
779,0
780,2
781,1
782,1
783,4
784,1
785,2
786,1
787,1
788,2
789,0
790,1
791,1
792,2
793,1
794,1
795,2
796,1
797,3
798,4
799,1
800,1
801,1
802,1
803,3
804,2
805,1
806,1
807,2
808,1
809,2
810,1
811,2
812,4
813,1
814,4
815,3
816,1
817,1
818,2
819,1
820,2
821,1
822,1
823,2
824,3
825,1
826,1
827,3
828,1
829,1
830,1
831,2
832,1
833,1
834,1
835,3
836,1
837,1
838,1
839,1
840,4
841,1
842,2
843,0
844,1
845,1
846,2
847,1
848,1
849,1
850,2
851,1
852,3
853,1
854,3
855,0
856,1
857,1
858,1
859,1
860,3
861,1
862,2
863,2
864,1
865,1
866,3
867,2
868,3
869,1
870,2
871,1
872,1
873,1
874,1
875,2
876,2
877,2
878,1
879,1
880,1
881,4
882,2
883,2
884,0
885,1
886,2
887,1
888,1
889,2
890,1
891,2
892,1
893,1
894,1
895,0
896,2
897,1
898,1
899,1
900,2
901,1
902,1
903,1
904,1
905,2
906,1
907,3
908,1
909,1
910,3
911,2
912,1
913,1
914,2
915,1
916,2
917,2
918,3
919,1
920,1
921,1
922,1
923,2
924,1
925,4
926,3
927,1
928,1
929,1
930,1
931,1
932,2
933,2
934,3
935,1
936,2
937,4
938,2
939,4
940,3
941,4
942,2
943,1
944,1
945,3
946,2
947,1
948,2
949,1
950,2
951,1
952,1
953,1
954,1
955,1
956,3
957,1
958,1
959,1
960,2
961,1
962,2
963,1
964,1
965,1
966,1
967,1
968,1
969,2
970,1
971,1
972,1
973,1
974,1
975,1
976,2
977,1
978,1
979,2
980,2
981,3
982,1
983,0
984,3
985,4
986,4
987,1
988,1
989,1
990,1
991,1
992,2
993,2
994,2
995,1
996,0
997,3
998,3
999,1
1000,1
1001,1
1002,1
1003,2
1004,1
1005,1
1006,1
1007,1
1008,2
1009,1
1010,2
1011,2
1012,1
1013,2
1014,1
1015,3
1016,1
1017,1
1018,2
1019,2
1020,4
1021,1
1022,1
1023,2
1024,1
1025,1
1026,1
1027,2
1028,1
1029,1
1030,1
1031,1
1032,1
1033,2
1034,1
1035,1
1036,3
1037,1
1038,1
1039,1
1040,3
1041,1
1042,2
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,2
1050,1
1051,1
1052,1
1053,2
1054,3
1055,1
1056,4
1057,2
1058,2
1059,2
1060,2
1061,1
1062,1
1063,3
1064,2
1065,1
1066,2
1067,1
1068,1
1069,1
1070,1
1071,3
1072,1
1073,2
1074,0
1075,1
1076,2
1077,0
1078,1
1079,1
1080,2
1081,2
1082,1
1083,1
1084,2
1085,3
1086,1
1087,1
1088,2
1089,2
1090,1
1091,3
1092,3
1093,3
1094,2
1095,1
1096,3
1097,2
1098,1
1099,1
1100,2
1101,1
1102,1
1103,3
1104,4
1105,1
1106,2
1107,3
1108,1
1109,2
1110,1
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,1
1119,2
1120,2
1121,2
1122,3
1123,1
1124,3
1125,3
1126,2
1127,2
1128,3
1129,2
1130,1
1131,1
1132,2
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,2
1142,2
1143,1
1144,1
1145,2
1146,2
1147,1
1148,2
1149,1
1150,1
1151,1
1152,1
1153,0
1154,1
1155,1
1156,2
1157,1
1158,1
1159,1
1160,1
1161,1
1162,1
1163,3
1164,1
1165,4
1166,1
1167,2
1168,1
1169,2
1170,2
1171,1
1172,2
1173,1
1174,1
1175,1
1176,1
1177,1
1178,2
1179,1
1180,1
1181,4
1182,1
1183,1
1184,1
1185,1
1186,1
1187,3
1188,1
1189,1
1190,1
1191,1
1192,2
1193,1
1194,1
1195,2
1196,1
1197,1
1198,3
1199,2
1200,2
1201,1
1202,2
1203,2
1204,3
1205,1
1206,2
1207,1
1208,1
1209,1
1210,2
1211,1
1212,1
1213,1
1214,2
1215,1
1216,0
1217,0
1218,2
1219,1
1220,3
1221,1
1222,2
1223,2
1224,1
1225,2
1226,2
1227,3
1228,2
1229,1
1230,1
1231,2
1232,1
1233,3
1234,3
1235,2
1236,2
1237,1
1238,1
1239,1
1240,1
1241,3
1242,1
1243,2
1244,2
1245,3
1246,2
1247,1
1248,1
1249,2
1250,2
1251,3
1252,3
1253,1
1254,1
1255,0
1256,4
1257,2
